total sulfur dioxide,density,pH,sulphates,alcohol,quality
34,0.9978,3.51,0.56,9.4,5
67,0.9968,3.2,0.68,9.8,5
54,0.997,3.26,0.65,9.8,5
60,0.998,3.16,0.58,9.8,6
34,0.9978,3.51,0.56,9.4,5
40,0.9978,3.51,0.56,9.4,5
59,0.9964,3.3,0.46,9.4,5
21,0.9946,3.39,0.47,10,7
18,0.9968,3.36,0.57,9.5,7
102,0.9978,3.35,0.8,10.5,5
65,0.9959,3.28,0.54,9.2,5
102,0.9978,3.35,0.8,10.5,5
59,0.9943,3.58,0.52,9.9,5
29,0.9974,3.26,1.56,9.1,5
145,0.9986,3.16,0.88,9.2,5
148,0.9986,3.17,0.93,9.2,5
103,0.9969,3.3,0.75,10.5,7
56,0.9968,3.11,1.28,9.3,5
29,0.9974,3.38,0.5,9,4
56,0.9969,3.04,1.08,9.2,6
60,0.9968,3.39,0.53,9.4,6
71,0.9982,3.52,0.65,9.7,5
37,0.9966,3.17,0.91,9.5,5
67,0.9968,3.17,0.53,9.4,5
40,0.9968,3.43,0.63,9.7,6
23,0.9955,3.34,0.56,9.3,5
11,0.9962,3.28,0.59,9.5,5
37,0.9966,3.17,0.91,9.5,5
35,0.9972,3.47,0.55,9.4,5
16,0.9964,3.38,0.59,9.8,6
82,0.9958,3.35,0.54,10.1,5
37,0.9966,3.46,0.57,10.6,6
113,0.9966,3.17,0.66,9.8,5
83,0.9993,3.45,0.52,9.4,6
50,0.9957,3.38,0.55,9.2,5
18,0.9986,3.4,0.55,9.6,6
15,0.9975,3.42,0.6,10.8,6
30,0.9968,3.23,0.73,9.7,7
19,0.994,3.5,0.48,9.8,4
87,0.9978,3.33,0.83,10.5,5
87,0.9978,3.33,0.83,10.5,5
46,0.9976,3.26,0.51,9.3,4
14,0.9968,3.21,0.9,10.5,6
23,0.9968,3.3,1.2,10.3,5
11,0.9962,3.48,0.52,9.5,5
65,0.9934,3.9,0.56,13.1,4
114,0.997,3.25,0.73,9.2,5
37,0.9969,3.25,0.58,9.5,5
12,0.9958,3.34,0.56,9.2,5
96,0.9954,3.32,0.58,9.2,5
23,0.9971,3.15,0.74,9.2,5
15,0.9956,3.4,0.63,9.4,6
14,0.9955,3.39,0.64,9.4,6
119,0.997,3.2,0.56,9.4,5
73,0.9955,3.17,0.63,10.2,6
45,0.9978,3.34,0.53,9.5,5
10,0.9971,3.04,0.63,9.6,5
110,0.9983,3.26,0.77,9.4,5
54,0.9975,3.43,0.59,10,5
46,0.9962,3.41,0.54,9.4,6
52,0.998,3.44,0.64,9.2,5
112,0.9968,3.21,0.71,9.3,5
35,0.9968,3.38,0.62,9.5,7
54,0.9966,3.39,0.57,9.8,5
11,0.9962,3.41,0.39,10.9,5
11,0.9962,3.41,0.39,10.9,5
39,0.9968,3.42,0.58,9.6,5
15,0.9962,3.44,0.58,10.7,5
65,0.9969,3.28,0.79,10.7,5
19,0.9962,3.34,0.95,10.5,6
27,0.9967,3.32,0.54,9.5,6
96,0.9962,3.32,0.48,9.5,5
94,0.9961,3.31,0.48,9.5,5
43,0.9976,3.31,0.53,9.2,4
83,0.9984,3.28,0.82,9.6,5
42,0.9986,3.54,0.66,10.5,5
42,0.9986,3.54,0.66,10.5,5
30,0.9966,3.52,0.55,10.7,6
80,0.9958,3.38,0.52,10.1,5
119,0.9972,3.16,1.12,9.1,4
15,0.9958,3.41,0.56,9.2,5
67,0.9974,3.13,1.28,9.4,5
73,0.997,3.36,0.57,9.1,5
51,0.9969,3.16,1.14,9.4,5
61,0.9959,3.44,0.78,10.3,6
40,0.9961,3.41,0.59,10.1,5
136,0.9972,2.93,1.95,9.9,6
31,0.9966,3.39,0.64,9.6,5
125,0.9978,3.14,1.22,9.5,5
24,0.9978,3.48,0.53,9,5
140,0.9964,3.23,0.54,9.5,5
136,0.9972,2.93,1.95,9.9,6
133,0.9972,2.93,1.98,9.8,5
31,0.9966,3.39,0.64,9.6,5
85,0.9938,3.75,0.48,10.5,4
106,0.9932,3.85,0.6,12.9,6
23,0.9965,3.45,0.56,10.7,5
22,0.9963,3.25,0.63,9.2,5
10,0.9967,3.39,0.56,9.8,5
35,0.9972,3.3,0.59,9,6
50,0.9972,3.4,0.61,10.2,6
22,0.9959,3.31,0.56,10.4,6
35,0.9972,3.3,0.59,9,6
65,0.9967,3.29,0.51,9.2,5
36,0.996,3.33,0.48,9.4,5
65,0.9967,3.29,0.51,9.2,5
69,0.9973,3.08,1.31,9.3,5
64,0.9969,3.46,0.79,9.3,5
80,0.9976,3.37,0.8,9.6,6
153,0.9969,3.21,0.69,9.3,5
47,0.9964,3.19,0.93,9.5,5
108,0.9964,3.15,0.66,9.8,5
111,0.9964,3.15,0.66,9.8,5
46,0.9988,3.32,0.67,9.7,6
47,0.9964,3.19,0.93,9.5,5
62,0.9966,3.07,0.63,10.5,6
40,0.9978,3.39,0.61,10,6
28,0.997,3.37,0.5,9.4,6
56,0.9962,3.21,0.6,10.9,6
89,0.9959,3.34,0.54,9.2,6
89,0.9962,3.3,0.57,9,5
56,0.9962,3.21,0.6,10.9,6
13,0.998,3.49,0.52,9.2,5
34,0.9976,3.44,0.53,9.5,5
102,0.996,3.39,0.48,9.5,5
90,0.9984,3.16,0.7,9.4,5
12,0.9964,3.53,0.49,10.9,5
12,0.9964,3.54,0.48,10.9,5
16,0.9962,3.42,0.92,10.5,7
19,0.9955,3.42,0.57,9.4,5
134,0.9968,3.24,0.66,9.4,5
99,0.9937,3.63,0.63,13,5
99,0.9937,3.63,0.63,13,5
26,0.9952,3.4,0.58,9.8,6
29,0.9959,3.22,0.55,9.9,6
63,0.9965,3.19,0.82,9.6,5
52,0.9968,3.23,0.77,9.5,5
45,0.9972,3.48,0.64,9.2,5
105,0.9962,3.33,0.54,9.5,5
108,0.9962,3.32,0.54,9.5,5
63,0.9965,3.19,0.82,9.6,5
52,0.9968,3.23,0.77,9.5,5
63,0.9916,3.68,0.79,14,6
20,0.9954,3.34,0.58,9.4,5
63,0.9916,3.68,0.79,14,6
141,0.9968,3.17,0.62,9.4,5
94,0.9944,3.54,0.52,10,5
88,0.9968,3.11,0.8,9.3,5
30,0.9959,3.42,0.58,10.2,6
43,0.9975,3.53,0.61,10.5,6
11,0.9958,3.33,0.53,10.3,6
69,0.9996,2.74,2,9.4,4
99,0.995,3.35,0.54,10.1,5
99,0.995,3.35,0.54,10.1,5
129,0.9973,3.42,0.72,10.5,5
128,0.9973,3.42,0.71,10.5,5
129,0.9973,3.42,0.72,10.5,5
128,0.9973,3.42,0.71,10.5,5
22,0.9969,3.48,0.5,9.3,5
86,0.9968,3.59,0.57,9.3,6
20,0.9959,3.2,0.56,9.6,5
20,0.9965,3.17,1.08,9.2,4
31,0.9964,3.33,0.56,10,6
121,0.9982,3.37,0.49,9.4,5
121,0.9981,3.37,0.49,9.4,5
96,0.9961,3.19,0.62,9.5,5
101,0.9956,3.34,0.52,10.2,5
42,0.9956,3.37,0.48,9,4
44,0.9953,3.47,0.55,10.4,6
63,0.9964,3,1.59,9.5,5
8,0.9972,3.36,0.33,9.1,4
18,0.9972,3.29,0.61,9.2,6
18,0.9972,3.29,0.61,9.2,6
42,0.9961,3.42,0.57,11.5,6
35,0.9961,3.33,0.47,9.5,5
49,0.9958,3.35,0.78,9.5,5
35,0.9961,3.33,0.47,9.5,5
38,0.9972,3.58,0.61,10.5,6
20,0.9969,3.48,0.56,9.6,5
42,0.9969,3.19,0.59,9.5,5
42,0.9969,3.19,0.59,9.5,5
110,0.9972,3.12,1.02,9.3,5
42,0.9972,3.44,0.52,9.3,5
65,0.9971,3.54,0.58,9.3,5
62,0.997,3.52,0.58,9.3,6
85,0.9971,3.26,0.53,9.7,5
67,0.9972,3.34,0.55,9.2,5
26,0.9976,3.39,0.49,9.7,5
143,0.9968,3.2,0.55,9.5,5
144,0.9968,3.2,0.55,9.5,5
127,0.9976,3.23,0.62,9.4,5
49,0.9974,3.57,0.62,9.8,6
126,0.9969,3.28,0.61,9.5,5
28,0.9964,3.28,0.55,9.7,5
28,0.9964,3.28,0.55,9.7,5
120,0.9968,3.25,0.54,9.4,5
55,0.9968,3.46,0.59,10.2,5
27,0.9981,3.11,0.97,10.1,6
93,0.9924,3.57,0.85,13,7
31,0.9948,3.51,0.43,11.4,4
24,0.99695,3.22,0.82,10.3,7
145,0.9975,3.04,1.03,9.3,5
49,0.99545,3.36,0.79,9.5,5
39,0.9961,3.34,0.55,9.2,5
37,0.99615,3.34,0.56,9.2,6
28,0.9994,3.2,0.77,10.8,7
28,0.9994,3.2,0.77,10.8,7
120,0.99625,3.29,0.53,9.3,5
95,0.9966,3.22,0.67,9.4,5
19,0.998,3.31,0.88,10.5,7
19,0.99585,3.3,0.86,12.4,6
62,0.99685,3.35,0.56,10,6
15,0.998,3.21,0.67,10.2,6
65,0.9959,3.3,0.43,10.1,5
41,0.9974,3.24,0.71,9.8,6
121,0.9974,3.34,0.76,10.5,5
49,0.9962,3.14,0.57,11,5
41,0.9967,3.36,0.55,9.1,5
44,0.9957,3.39,0.54,9.7,5
144,0.99655,3.3,0.6,9.5,5
58,0.9964,3.34,0.59,9.4,6
72,0.9957,3.15,0.57,9.4,5
10,0.99525,3.42,0.6,9.5,5
28,0.99815,3.28,0.6,10,6
55,0.99745,3.31,0.57,10.4,4
63,0.99615,3.37,0.58,10.5,6
81,0.9964,3.04,1.61,9.5,6
23,0.9984,3.39,0.63,9.8,5
63,0.99615,3.37,0.58,10.5,6
37,0.99685,3.46,0.5,11,5
106,0.9927,3.54,0.62,12.2,7
49,0.99625,3.37,0.52,9.9,6
58,0.998,3.34,0.7,9.6,6
37,0.99685,3.46,0.5,11,5
37,0.99685,3.32,0.55,9,6
38,0.99675,3.37,0.58,9,6
38,0.99675,3.37,0.58,9,6
39,0.99675,3.37,0.58,9.2,6
38,0.99675,3.37,0.58,9,6
37,0.99685,3.32,0.55,9,6
62,0.9971,3,1.09,9.3,5
24,0.99925,3.14,0.71,10.9,6
109,0.99565,3.08,0.49,9.8,6
24,1.00005,3.07,0.84,9.2,7
24,1.00005,3.07,0.84,9.2,7
23,0.9983,3.61,0.96,9.9,6
51,0.99685,3.38,0.52,9.5,5
73,0.9963,3.2,0.45,9.3,5
39,0.99615,3.35,0.48,9.8,6
23,0.9983,3.61,0.96,9.9,6
37,0.9985,3.22,0.78,10,6
34,0.9972,3.47,0.7,9.9,6
21,0.9986,3.17,0.53,10.5,5
86,0.9959,3.23,0.59,9.5,5
34,0.9972,3.47,0.7,9.9,6
119,0.99675,3.26,0.57,9.3,5
13,0.998,3.22,0.62,9.2,5
56,0.9968,3.49,0.67,9.2,5
45,0.9968,3.06,1.26,9.4,5
33,0.99965,3.36,0.8,10.5,7
45,0.99625,3.29,0.65,9.3,5
67,0.99565,3.35,0.6,9.4,4
35,0.99575,3.34,0.57,10,5
49,0.9963,3.28,0.67,9.3,5
27,0.9999,3.08,0.87,10.9,5
10,0.9968,3.2,0.72,10.2,7
61,1.00025,3.6,0.72,9.8,4
37,0.9973,3.35,0.86,12.8,8
27,0.9987,3.69,0.91,9.4,6
23,0.9996,3.28,0.97,10.1,6
61,0.9965,3.36,0.67,10.7,6
23,0.9996,3.28,0.97,10.1,6
65,0.99935,3.22,0.78,10.1,5
38,0.99735,3.31,0.64,9.4,5
94,0.99915,3.38,0.77,9.4,5
61,0.9965,3.36,0.67,10.7,6
27,0.9987,3.69,0.91,9.4,6
23,0.9996,3.28,0.97,10.1,6
13,0.9976,3.23,0.82,12.6,8
47,0.9991,3.38,0.77,10.5,7
19,0.9986,3.12,0.82,9.3,6
10,0.9972,3.25,1.08,9.9,7
53,0.9971,3.36,0.57,9.1,5
47,0.9991,3.38,0.77,10.5,7
71,1.00015,3.31,0.71,9.8,5
71,1.00015,3.31,0.71,9.8,5
49,0.9997,3.1,0.76,10.3,6
53,0.9967,3.37,0.7,10.3,6
49,0.9976,3.34,0.86,10.6,7
98,1.001,3.2,0.95,9.2,5
49,0.9976,3.34,0.86,10.6,7
18,0.9979,3.3,0.71,10.5,5
48,0.9994,3.22,0.64,10.3,6
16,0.9964,3.41,0.6,10.1,6
53,1.0014,3.05,0.81,9.5,6
27,1.0001,3.05,0.64,9.5,5
70,0.9981,3.16,0.52,9.9,5
29,0.99855,3.67,0.73,9.6,5
31,0.9993,3.67,0.8,9.7,5
33,0.99845,3.68,0.71,9.6,5
44,0.9965,3.38,0.59,10.7,6
15,0.9973,3.22,0.64,10.1,6
28,0.9994,3.51,0.72,10,5
21,0.996,3.39,0.54,9.5,5
90,0.9973,3.2,0.52,9.2,5
25,0.9998,3.12,0.59,9.3,6
54,0.9966,3.36,0.52,9.4,5
14,0.9994,3.19,0.62,9.5,6
12,0.9994,3.19,0.63,9.5,6
30,0.9968,3.41,0.53,9.5,6
25,0.9998,3.12,0.59,9.3,6
105,0.996,3.27,0.54,9.4,6
98,0.99815,3.32,0.63,9.5,6
135,0.9976,3.3,0.53,9.4,5
72,0.99645,3.39,0.68,11,5
53,0.9962,3.42,0.65,11,6
92,0.9996,3.3,0.65,10.1,5
74,0.99865,3.3,0.64,10.4,6
59,0.9989,3.37,0.71,11.5,7
74,0.99865,3.3,0.64,10.4,6
59,0.9989,3.37,0.71,11.5,7
87,0.99975,3.24,0.62,9.7,5
18,0.99735,3.29,0.63,9.3,5
73,0.999,3.28,0.7,9.5,6
50,1.0015,3.16,0.69,9.2,6
50,1.0015,3.16,0.69,9.2,6
14,0.9978,3.05,0.74,11.5,7
13,0.998,3.28,0.83,11.5,5
21,1.0002,3.16,0.67,9.7,6
15,0.9981,3.18,0.62,9.5,5
41,0.998,3.23,0.66,12.5,6
41,0.998,3.23,0.66,12.5,6
114,0.9973,3.22,0.54,9.4,6
44,0.9958,3.13,0.52,11,5
38,0.9963,3.34,0.74,11.7,7
21,0.9992,3.17,0.84,12.2,7
16,0.9948,3.35,0.7,12.5,6
58,0.9974,3.31,0.64,10.3,5
99,1.0008,3.16,1,11.5,6
29,0.9997,3.11,1.36,9.8,7
21,1,3.12,1.18,9.2,6
18,0.9972,3.21,0.87,11.3,6
14,0.9982,3.3,0.75,9.8,6
14,0.9982,3.3,0.75,9.8,6
32,1.0006,3.12,0.78,10.7,6
63,0.9979,3.6,0.81,9.9,5
34,0.9955,3.58,0.89,12.3,7
15,0.9986,3.02,0.93,12,6
46,0.9979,3.11,0.92,10,6
28,0.9994,3.36,0.86,9.4,6
34,1.0004,3.28,0.98,9.9,6
26,0.9994,3.35,0.83,9.4,6
19,0.9974,3.27,0.73,9.3,5
77,1.0018,3.18,0.77,13,5
165,0.9912,3.25,0.59,11.9,6
32,0.9955,3.55,0.61,12.8,6
55,1.0001,3.26,0.88,11,5
29,0.997,3.24,0.75,11.7,7
23,1,3.15,0.85,10.4,7
41,1.001,3.17,0.68,9.8,6
81,0.9973,3.19,0.7,9.4,5
50,0.9982,3.37,0.91,9.9,6
37,0.9992,3.05,0.56,10,5
15,0.9988,2.99,0.87,10.2,5
42,1.0022,3.07,0.73,10,7
21,0.9979,3.26,0.93,11.8,6
42,1.0022,3.07,0.73,10,7
24,1,3.16,0.69,9,5
75,0.9998,3.18,0.64,9.4,5
18,0.9962,3.2,1.13,12,7
63,0.9975,3.57,0.78,9.9,5
25,0.9967,3.32,0.87,8.7,6
46,0.9967,3.32,1.04,10.6,6
72,0.9959,3.05,0.63,9.2,5
47,1.0014,3.01,0.81,10.8,6
15,0.9984,3.01,0.83,11.8,7
47,1.0003,3.26,1.11,11,6
18,0.9962,3.2,1.13,12,7
24,0.9988,3.11,0.99,13.3,6
60,0.9979,3.31,0.7,10.8,6
27,0.9974,3.21,0.8,9.4,6
43,1.0014,3.06,0.8,10,6
27,0.9974,3.21,0.8,9.4,6
27,0.9974,3.21,0.8,9.4,6
54,0.998,3.42,0.74,9.2,5
37,0.9979,3.43,0.76,9.7,6
48,0.9981,3.41,0.74,9.2,6
42,0.9972,3.31,0.54,9.6,6
53,0.9981,3.43,0.74,9.2,6
49,0.9982,3.19,0.7,10,7
88,0.9924,3.56,0.82,12.9,8
43,1.0014,3.06,0.8,10,6
26,0.998,3.18,0.51,9.5,5
95,0.997,3.16,0.54,9.1,5
25,0.9997,3.03,0.57,9.9,5
38,1.0004,3.22,0.6,13,7
124,0.9994,3.47,0.53,9.9,5
49,0.9988,3.18,0.65,11,6
49,0.9988,3.18,0.65,11,6
42,0.9963,3.1,0.55,9.4,5
124,0.9994,3.47,0.53,9.9,5
38,0.9949,3.29,0.47,10.8,6
64,1,3.1,0.61,10.5,6
41,0.9994,3.15,0.63,10.5,6
27,0.9974,3.26,0.61,9.1,5
25,0.9966,3.36,0.76,10.1,6
28,0.9981,3.24,0.65,10.8,6
30,0.9996,3.18,0.63,10.8,7
16,0.997,3.19,0.7,11.3,6
49,0.9981,3.05,0.57,9.6,4
86,0.9987,3.38,0.62,9.5,6
78,0.9987,3.38,0.62,9.5,5
77,0.9966,3.27,0.64,9.3,5
19,0.9986,3.27,0.82,11.7,7
122,0.9982,3.26,0.61,9.5,5
134,1.0014,3.32,1.07,9.3,5
20,0.997,3.26,0.66,11.7,6
124,0.9956,3.44,0.48,10.5,5
20,0.9996,3.24,0.76,10.4,6
52,0.9976,3.62,0.68,9.9,5
67,0.9972,3.28,0.73,11.8,7
48,0.9952,3.52,0.56,12.3,7
60,0.9955,3.36,0.44,10.9,5
24,0.9978,3.15,0.9,11,7
60,0.9955,3.36,0.44,10.9,5
48,0.9952,3.52,0.56,12.3,7
48,0.9949,3.49,0.49,11.4,6
32,0.9988,3.26,0.56,10.6,6
30,0.9978,3.24,0.6,9.3,5
35,0.9997,3.1,0.6,10.4,6
24,0.9978,3.15,0.9,11,7
66,0.9974,3.25,0.56,9.2,5
24,0.9958,3,0.65,12.8,6
18,1.0004,3.16,0.49,9.5,5
54,0.9996,3.15,0.89,9.9,6
18,1.0004,3.16,0.49,9.5,5
62,0.9958,3.26,0.56,10.2,6
22,0.9986,3.17,0.66,11.2,6
54,0.9996,3.15,0.89,9.9,6
50,0.9951,3.08,0.6,9.3,5
29,0.9987,2.88,0.82,9.8,8
27,0.9988,3.06,0.68,11.3,6
43,1.0032,2.95,0.68,11.2,7
19,0.9963,3.23,0.63,11.6,7
27,0.9934,3.57,0.84,12.5,7
31,0.9986,3.23,0.56,10.1,6
72,0.9996,3.1,0.73,10.5,5
16,0.9968,3.22,0.72,11.2,5
27,0.9967,3.2,0.56,10.2,6
35,0.9994,3.1,0.61,10.8,6
35,0.9994,3.1,0.61,10.8,6
26,0.9979,3.06,1.06,9.1,6
35,0.9968,3.44,0.63,10,6
22,0.9998,3.26,0.74,11.2,7
67,0.9952,3.5,0.63,11.1,5
19,0.9988,3.22,0.69,13.4,8
22,0.9986,3.37,0.58,10.3,5
65,0.9988,3.28,0.58,9.6,5
22,0.9998,3.26,0.74,11.2,7
47,1.0008,3.25,0.57,9,3
23,0.9976,3.35,0.61,11.3,6
19,0.9982,3.26,0.61,9.3,5
25,0.997,3.18,0.61,11.8,5
129,0.9972,3.08,0.53,9,5
15,0.9987,2.98,0.7,9.2,6
26,1.0006,3.48,0.91,9.7,5
51,0.9982,3.16,0.72,11.5,6
18,0.9947,3.32,0.79,14,6
21,1,3.17,0.62,9.2,6
48,0.9952,3.2,0.58,9.8,5
47,0.9996,3.05,0.61,10.6,5
52,0.997,3.2,0.71,11.4,6
68,0.9995,3.15,0.82,10.4,6
14,0.9971,3.26,0.79,10.6,5
24,0.9982,3.2,0.89,9.4,6
28,0.9988,3.14,0.6,10.2,5
16,0.998,3.28,0.7,9.7,5
20,0.9977,3.18,1.06,11,6
28,0.9988,3.14,0.6,10.2,5
31,0.9984,3.19,0.7,10.1,6
23,1.0026,3.12,0.66,9.2,5
17,0.9964,3.15,0.92,11.7,8
18,0.9986,3.04,1.05,9.4,5
18,0.9986,3.04,1.06,9.4,5
24,0.997,3.06,0.66,13.4,6
17,0.9976,3.17,0.47,10,5
17,0.9976,3.17,0.47,10,5
14,0.9982,3.17,0.42,10,6
67,1.0002,3.32,0.92,10.8,7
26,0.9984,3.34,0.75,10.2,6
56,0.9984,3.31,0.67,10.6,6
25,0.9952,3.34,0.79,13.3,7
27,0.995,3.32,0.9,13.4,7
81,1.0002,3.48,0.74,11.6,6
91,0.9952,3.44,0.55,12.1,6
16,0.9972,3.15,0.65,11,8
38,0.9984,3.43,0.65,9,6
113,0.9966,3.32,0.79,11.1,5
16,0.9972,3.15,0.65,11,8
81,1.0002,3.48,0.74,11.6,6
38,0.9984,3.43,0.65,9,6
76,0.999,3.17,0.85,12,7
76,0.999,3.17,0.85,12,7
24,0.9976,3.18,1.04,10.9,7
22,0.9976,3.21,1.05,10.8,7
26,0.9968,3.16,0.78,12.5,7
21,0.9976,3.25,1.02,10.8,7
13,1,3.17,0.71,9.5,6
62,0.9994,3.18,0.63,10.2,6
43,0.9986,3.04,0.68,11.4,7
43,0.9978,3.02,0.61,9.5,5
62,0.9994,3.18,0.63,10.2,6
49,0.998,3.03,0.81,9.7,6
15,0.9973,3.09,0.66,11.8,7
15,0.9973,3.09,0.66,11.8,7
151,1.001,3.31,1.14,9.3,5
14,1.001,3.25,0.74,11.9,6
16,0.9994,3.16,0.63,8.4,3
32,0.9972,3.22,0.68,11.7,6
106,0.9966,3.36,0.78,11,5
33,0.9982,3.42,0.9,10,6
43,0.998,3.48,0.64,9.1,5
133,0.9979,3.38,0.99,9.8,5
142,0.9978,3.22,0.55,9.4,5
116,0.9976,3.23,0.64,9.5,5
53,0.9998,3.24,0.67,9.9,5
106,0.9966,3.36,0.78,11,5
85,0.9962,3.39,0.77,11.4,6
55,0.9988,3.34,0.75,8.7,6
33,0.9974,3.09,0.57,9.4,5
28,0.999,3.41,0.87,10.3,6
42,1.0004,3.16,0.61,10.3,5
42,1.0004,3.16,0.61,10.3,5
33,0.9956,3.22,0.66,12.8,6
32,1,3.28,0.56,10,6
28,0.999,3.41,0.87,10.3,6
33,0.9974,3.09,0.57,9.4,5
13,0.9972,3.37,0.77,10.7,6
35,1.0014,3.2,0.66,12,7
17,0.9996,3.22,0.62,11.2,5
47,0.9988,3.26,0.67,9.6,5
17,0.9988,3.21,0.73,11,6
